Species	1-1525	1526-3867	3868-4056	4057-4435	4436-4611	4612-4650	4651-4856	4857-5156	5157-5385	5386-5573	5574-5779	5780-6030	6031-6268	6269-6416	6417-6588	6589-6738	6739-6874	6875-7041	7042-7170	7171-7350	7351-7462	7463-7592	7593-7735	7736-7830	7831-8065	8066-8524	8525-8717	8718-9207	9208-9422	9423-9690	9691-10075	10076-10214	10215-10671	10672-11296	11297-11396	11397-11812	11813-12076	12077-12383	12384-12497	12498-12848	12849-13284	13285-13358	13359-13494	13495-13719	13720-13952	13953-15125	15126-15582	15583-16897	16898-17637
Cubozoa	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	2
Dugesia_japonica	2	1	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schmidtea_mediterranea	0	1	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrostomum_lignano	0	0	0	0	0	0	2	1	0	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraplanocera_sp	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echinococcus_granulosus	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	0	0	0	0
Branchiostoma_floridae	2	2	0	2	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Ciona_intestinalis	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	0	2	2	0	0	0	0	0
Gallus_gallus	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homo_sapiens	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
Xenoturbella_bocki	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	1	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Ptychodera_flava	2	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccoglossus_kowalevskii	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	0	0	0	0	0	2	2
Asterina_pectinifera	2	0	0	1	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strongylocentrotus_purpuratus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2
Echinoderes_horni	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypsibius_dujardini	0	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Richtersius_coronifer	2	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xiphinema_index	2	0	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Spinochordodes_tellinii	2	0	0	0	0	0	2	1	0	2	2	0	2	2	2	2	2	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichinella_spiralis	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	0	0	0	2	2	2	2	0	0	1	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Euperipatoides_kanangrensis	0	0	0	0	2	2	2	1	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	0	0	2	2	2	2	0	0	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Priapulus_caudatus	2	2	1	0	0	2	2	1	0	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	0	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	0	0	2	2
Anoplodactylus_eroticus	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scutigera_coleoptrata	2	1	1	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Acanthoscurria_gomesiana	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boophilus_microplus	2	1	2	2	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosophila_melanogaster	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
Daphnia_magna	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Carcinus_maenas	2	1	0	0	0	0	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fenneropenaeus_chinensis	0	0	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Carcinoscorpius_rotundicauda	2	0	0	0	0	0	2	1	0	2	2	1	1	2	2	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euprymna_scolopes	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplysia_californica	2	2	0	2	2	2	2	1	0	2	1	0	2	2	2	2	2	0	2	2	2	0	2	0	0	2	0	2	2	2	2	0	1	1	2	0	2	2	2	2	2	2	0	2	0	0	0	2	2
Biomphalaria_glabrata	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Chaetoderma_nitidulum	1	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetopleura_apiculata	2	2	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mytilus_galloprovincialis	2	2	0	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	0	0	0	0	2	2
Argopecten_irradians	2	2	0	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Crassostrea_virginica	1	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Carinoma_mutabilis	0	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerebratulus_lacteus	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoronis_vancouverensis	2	2	1	0	0	0	2	1	0	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terebratalia_transversa	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Turbanella_ambronensis	0	0	0	0	0	0	2	1	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetopterus_sp	2	2	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Themiste_lageniformis	1	0	0	0	0	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haementeria_depressa	0	0	0	0	0	0	2	1	2	2	1	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lumbricus_rubellus	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	0	2	2	2	2	0	0	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Urechis_caupo	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0
Platynereis_dumerilii	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	0	2	0	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	0	2	0	0	0	2	2
Capitella_sp	2	2	0	0	0	0	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
