Species	1-237	238-740	741-1217	1218-1862	1863-2468	2469-3047	3048-3921	3922-4034	4035-4277	4278-4897	4898-5226	5227-5885	5886-6378	6379-6674	6675-7124	7125-7577	7578-7694	7695-8128	8129-8361	8362-8559	8560-8749	8750-9363	9364-9785	9786-9947	9948-10511	10512-10646	10647-11108	11109-11482	11483-11736	11737-12212	12213-12689	12690-13379	13380-14345	14346-14726	14727-15001	15002-15141	15142-15542	15543-15709	15710-15977	15978-16276	16277-16694	16695-17410	17411-17695	17696-18221	18222-18751	18752-19094	19095-19538	19539-19877	19878-20454	20455-20862	20863-21045	21046-21231	21232-21828	21829-22629	22630-23484	23485-23772	23773-24772	24773-24976	24977-25147	25148-25392	25393-25766	25767-26043	26044-26232	26233-26765	26766-27096	27097-27353	27354-27722	27723-28065	28066-28489	28490-28706	28707-29001	29002-29526	29527-30272	30273-30877	30878-31272	31273-31874	31875-32327	32328-32880	32881-33750	33751-33914	33915-34460	34461-34636	34637-35318	35319-35652	35653-35806	35807-36186	36187-36800	36801-37530	37531-37920	37921-38013	38014-38405	38406-38800	38801-39395	39396-39660	39661-39843	39844-39969	39970-40325	40326-40643	40644-41053	41054-41437	41438-41941	41942-42342	42343-42691	42692-43427	43428-43714	43715-43943	43944-44272	44273-44656	44657-44795	44796-45614	45615-45996	45997-46196	46197-46744	46745-47353	47354-47931	47932-48873	48874-49388
Pleurobrachia_pileus	0	0	0	0	0	2	2	2	0	0	0	2	1	0	0	2	0	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	2	0	0	0	2	2	0	0	2	0	0	0	0	2	2	0	0	2	0	2	1	0
Pleurobrachia_sp_South_Carolina_USA	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurobrachia_bachei	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	2	1	2	0	2	2	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	2
Callianira_Antarctica	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
Cydippida_sp_Maryland_USA	0	0	0	1	2	1	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	2	0	0	2	2	2	0	2	0	0	2	0	0	0	2	0	2	0	2	0	0	0	1	2	2	0	0	2	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	2	2	2	0	2	0	2	1	0	0	0	1	0	0	0	0	0	0	2	2	2	2	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	2	2	0	0	2	0	0	0	2
Mertensiidae_sp_Antarctica	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0
Mertensiidae_sp_Washington_USA	0	0	0	1	2	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	1
Cydippida_sp	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Dryodora_glandiformis	0	0	0	2	2	1	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	2	2	0	0	2	1	2	1	1
Beroe_sp_Antarctica	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
Beroe_abyssicola	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	0	0	2
Beroe_ovata	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Beroe_sp_Queensland_Australia	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1
Beroe_forskalii	0	0	0	2	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
Lobatolampea_tetragona	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0
Ocyropsis_sp_Bimini_Bahamas	0	0	0	2	1	0	2	0	0	0	0	1	0	0	2	2	0	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2
Ocyropsis_crystallina	0	0	0	2	0	2	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	0	2	2	1	2	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
Ocyropsis_sp_Florida_USA	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bolinopsis_infundibulum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Mnemiopsis_leidyi	0	0	0	0	2	1	2	0	0	0	0	0	0	0	2	2	2	1	0	0	0	2	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	2	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	2	1	1	2	0
Bolinopsis_ashleyi	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1
Lobata_sp_Punta_Arenas_Argentina	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eurhamphaea_vexilligera	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2
Cestum_veneris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Ctenophora_sp_Florida_USA	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2
Sycon_ciliatum	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
Sycon_coactum	2	2	2	0	0	0	0	2	0	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	2	2	0	2	2	0	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Corticium_candelabrum	2	0	2	1	2	0	1	2	1	2	2	2	2	2	0	2	2	2	0	2	0	0	0	2	0	2	0	1	2	2	2	0	1	0	2	2	2	2	0	2	2	2	0	1	2	1	0	1	2	2	2	0	2	1	2	0	0	1	2	0	2	0	2	0	0	0	2	0	2	1	2	0	2	0	0	0	1	0	0	2	0	2	0	1	2	2	0	1	2	2	2	0	2	0	2	2	2	1	0	0	0	0	2	0	0	1	0	0	2	2	0	2	1	2	2	2	0
Oscarella_carmela	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Hyalonema_populiferum	2	0	2	0	1	0	0	2	0	2	0	2	1	2	0	2	2	0	2	1	0	1	2	2	0	2	2	2	2	0	2	0	2	0	1	2	0	2	0	0	2	0	2	0	1	2	2	2	1	2	2	2	1	1	0	1	1	2	2	0	2	2	2	1	2	2	1	2	1	2	2	0	0	1	2	0	0	1	0	2	2	2	0	1	2	1	2	2	2	2	0	2	2	2	2	2	2	0	2	1	1	2	2	0	2	2	2	1	2	1	2	2	0	2	1	1	0
Aphrocallistes_vastus	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Rossella_fibulata	2	2	2	2	0	2	1	0	2	2	2	1	2	2	0	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Sympagella_nux	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	0
Chondrilla_nucula	2	2	0	1	2	1	2	2	0	2	0	0	2	2	2	0	2	1	2	2	2	0	2	2	0	2	2	1	0	2	2	0	0	2	2	2	2	2	2	1	2	0	2	0	0	2	2	2	0	1	2	2	2	1	0	2	1	2	2	2	2	2	0	1	2	0	2	0	2	2	2	0	0	0	2	0	2	2	2	0	2	2	2	2	2	1	2	1	0	2	0	1	2	0	0	2	2	2	2	0	0	2	1	0	2	2	2	2	2	2	2	2	1	2	2	1	0
Ircinia_fasciculata	2	1	2	0	1	1	2	2	1	2	0	0	1	0	0	0	2	1	0	2	0	2	0	2	0	2	0	0	0	2	2	0	2	0	2	2	2	2	2	0	2	0	1	2	2	2	1	0	0	2	2	0	1	1	0	2	0	2	2	0	0	0	0	2	0	2	2	0	2	0	1	0	0	0	0	0	2	0	0	2	1	1	0	0	2	2	2	2	0	2	0	0	2	0	2	2	0	0	2	2	0	0	2	2	2	1	2	1	2	2	0	0	0	1	2	1	2
Amphimedon_queenslandica	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2
Petrosia_ficiformis	2	2	0	0	2	2	1	0	0	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	0	0	2	2	2	0	2	2	2	0	1	2	2	1	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	1	1	2	0	1	0	0	0	0	0	2	0	2	0	0	2	2	0	2	2	0	2	2	0	2	2	0	2	0	0	2	0	2	2	2	0	2	2	0	1	2	2	2	2	0	0	1	1	2
Spongilla_lacustris	2	2	2	1	0	1	1	2	2	0	1	2	0	2	2	0	2	2	2	0	2	0	2	2	0	2	2	0	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	0	0	1	0	2	2	2	0	2	0	0	0	2	0	2	2	2	1	0	1	2	2	2	2	0	2	2	0	0	2	2	2	1	2	2	2	2	2	0	2	0	2	2	2	2	2	1	2	2	0	0	2	2	2	2	1	2	2	0	2	0	1	2
Cliona_varians	2	2	2	0	0	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	0	2	1	2	2	0	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	0	0	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	1	2	2	0	0	2	1	2	2	2	1	2	2	2	2	2	2	2	2	0
Pseudospongosorites_suberitoides	0	0	2	0	0	0	1	0	1	2	1	0	0	0	1	0	2	0	1	2	1	0	0	2	0	2	0	0	2	2	2	0	1	1	2	2	1	2	1	0	0	0	2	0	0	2	2	0	0	1	2	2	0	0	0	0	0	0	2	1	0	2	2	1	2	2	2	2	0	2	1	1	0	0	2	0	2	0	0	0	2	2	1	1	2	1	1	0	0	2	0	2	1	1	2	2	1	0	0	0	0	0	2	0	2	2	0	1	2	1	2	0	1	0	0	1	0
Mycale_phylophylla	2	2	2	0	0	0	1	0	2	2	2	2	2	1	0	0	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	1	1	2	2	2	2	1	2	2	2	2	2	0	2	0	0	2	2	0	1	2	2	2	2	2	0	2	1	0	1	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2
